NIP,P6_1_01,P6_1_02,P6_1_03,P6_1_04,P6_1_05,P6_1_06,P6_1_07,P6_1_08,P6_1_09,P6_1_10,P6_2_1,P6_3A_1,P6_3B_1,P6_3C_1,P6_3D_1,P6_2_2,P6_3A_2,P6_3B_2,P6_3C_2,P6_3D_2,P6_2_3,P6_3A_3,P6_3B_3,P6_3C_3,P6_3D_3,P6_4_1,P6_4_2,P6_4_3,P6_4_4,P6_5_1,P6_5_2,P6_5_3,P6_5_4,P6_5_5,P6_6_1,P6_6_2,P6_6_3,P6_6_4,P6_6_5,P6_6_6,P6_6_7,P6_6_8,P6_6_9
4371,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,,,,,,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2
4378,1,1,2,2,2,2,2,2,2,2,3,1,5,5,5,1,5,5,5,5,,,,,,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2
4381,1,2,2,2,1,2,2,2,2,2,1,1,3,3,2,,,,,,2,2,3,3,3,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,2,2,2
4387,1,1,2,2,2,2,2,2,2,2,2,1,1,3,3,2,1,1,3,4,,,,,,1,1,2,2,2,1,2,1,2,1,1,1,2,2,1,1,2,2
4388,2,2,1,2,2,2,2,2,2,2,,,,,,,,,,,2,2,2,3,3,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1
4389,1,1,2,2,2,2,2,2,2,2,1,1,3,1,5,3,1,1,1,2,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
4396,1,1,2,2,2,2,2,2,2,2,2,1,2,3,2,3,2,2,4,4,,,,,,1,2,2,2,2,1,1,2,2,1,1,1,2,2,1,2,2,2
4399,1,1,2,2,2,2,2,2,2,2,2,2,3,3,4,3,3,4,4,4,,,,,,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
4405,1,1,2,2,2,2,2,2,2,2,1,1,2,3,2,3,1,2,4,2,,,,,,1,2,2,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2
4408,1,2,1,2,2,2,2,2,2,2,1,2,4,1,4,,,,,,1,3,3,1,4,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2
4409,1,2,2,2,1,2,2,2,2,2,2,2,3,5,5,,,,,,3,3,3,5,5,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2
4412,2,1,2,2,2,2,1,2,2,2,,,,,,2,2,3,3,4,2,2,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
4414,1,1,2,2,2,2,2,2,2,2,1,2,2,1,4,1,2,2,1,3,,,,,,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2
4416,1,2,2,2,2,2,2,2,2,2,3,2,3,3,4,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2
4417,1,1,2,2,2,2,2,2,2,2,1,1,1,3,4,2,3,3,3,4,,,,,,1,2,2,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2
4424,1,1,2,2,2,2,2,2,2,2,1,1,2,3,4,2,1,3,2,4,,,,,,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2
4433,1,1,2,2,2,2,2,2,2,2,3,3,4,4,4,1,1,2,4,3,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2
4434,1,1,2,2,2,2,2,2,2,2,2,2,3,1,4,4,2,3,2,5,,,,,,2,1,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2
4435,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2
4441,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
4447,1,2,2,2,2,2,2,1,2,2,2,1,2,2,3,,,,,,2,1,2,1,3,1,1,2,1,1,1,2,2,2,1,2,2,1,2,1,2,1,2
4450,1,1,2,2,2,2,2,2,2,2,3,2,3,4,3,3,3,4,4,4,,,,,,2,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2
4451,1,1,2,2,2,2,2,2,2,2,3,2,3,4,4,3,2,3,4,4,,,,,,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,2,2,2
4459,1,2,2,2,1,2,2,2,2,2,1,1,1,1,5,,,,,,1,1,1,1,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2
4460,1,2,2,2,2,2,2,2,2,2,2,1,1,2,4,,,,,,,,,,,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2
4461,1,1,2,2,2,2,2,2,2,2,1,3,1,2,4,2,3,3,4,4,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2
4471,1,2,2,2,1,2,2,2,2,2,1,1,2,1,1,,,,,,2,1,2,2,1,2,2,1,2,1,2,2,1,1,1,2,2,2,2,1,2,2,2
4485,1,2,2,2,2,2,1,2,2,2,1,3,4,3,2,,,,,,1,3,4,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1
4487,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,3,1,2,3,4,,,,,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
4505,1,2,1,2,2,2,2,2,2,2,1,1,2,2,3,,,,,,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
4508,1,1,2,2,2,2,2,2,2,2,2,1,1,1,3,3,1,2,2,4,,,,,,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2
4515,1,2,2,2,2,1,2,2,2,2,2,2,1,2,3,,,,,,2,3,3,3,3,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2
