NIP,P6_7_01,P6_7_02,P6_7_03,P6_7_04,P6_7_05,P6_7_06,P6_7_07,P6_7_08,P6_7_09,P6_7_10,P6_8_1,P6_9A_1,P6_9B_1,P6_9C_1,P6_9D_1,P6_8_2,P6_9A_2,P6_9B_2,P6_9C_2,P6_9D_2,P6_8_3,P6_9A_3,P6_9B_3,P6_9C_3,P6_9D_3,P6_10_1,P6_10_2,P6_10_3,P6_10_4,P6_11_1,P6_11_2,P6_11_3,P6_11_4,P6_11_5,P6_12_1,P6_12_2,P6_12_3,P6_12_4,P6_12_5,P6_12_6,P6_12_7,P6_12_8,P6_12_9
117,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,3,3,3,4,4,,,,,,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2
118,1,2,2,2,2,2,2,2,2,2,2,3,3,3,4,,,,,,,,,,,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1
119,1,2,2,2,2,2,2,2,2,2,2,1,2,3,4,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
120,1,1,2,2,2,2,2,2,2,2,3,2,3,4,4,3,2,4,4,4,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
121,1,2,2,2,2,2,2,2,2,2,3,2,3,4,4,,,,,,,,,,,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1
122,1,2,1,2,2,2,2,2,2,2,4,4,3,3,4,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1
123,1,2,2,2,1,2,2,2,2,2,2,2,2,3,4,,,,,,2,2,2,3,4,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2
124,1,1,2,2,2,2,2,2,2,2,2,1,2,2,4,2,1,2,2,4,,,,,,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2
125,1,2,2,2,2,1,2,2,2,2,3,3,4,3,4,,,,,,3,4,4,4,4,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
126,1,1,2,2,2,2,2,2,2,2,3,1,2,2,3,3,1,3,3,3,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2
127,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,3,2,3,3,4,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2
128,1,2,2,1,2,2,2,2,2,2,1,2,2,3,2,,,,,,2,1,2,4,4,2,1,2,2,2,1,1,2,1,1,2,2,2,1,1,2,2,2
129,1,2,2,2,1,2,2,2,2,2,3,2,2,2,4,,,,,,3,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
130,1,1,2,2,2,2,2,2,2,2,3,1,1,2,3,3,2,2,3,4,,,,,,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2
131,1,2,1,2,2,2,2,2,2,2,3,2,2,4,4,,,,,,3,2,2,4,4,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2
132,1,2,2,2,1,2,2,2,2,2,2,4,4,4,4,,,,,,1,2,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
133,1,1,2,2,2,2,2,2,2,2,1,1,1,1,5,2,2,2,2,5,,,,,,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2
134,1,1,2,2,2,2,2,2,2,2,2,2,2,3,4,2,2,3,3,4,,,,,,2,1,2,2,1,1,2,2,2,1,1,1,2,2,2,2,1,2
135,1,1,2,2,2,2,2,2,2,2,2,1,1,3,3,2,3,3,3,4,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2
136,1,2,1,2,2,2,2,2,2,2,2,1,1,1,4,,,,,,2,2,2,2,4,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2
137,1,1,2,2,2,2,2,2,2,2,1,1,2,2,4,3,2,3,4,4,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
138,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,3,2,3,3,3,,,,,,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,2
139,1,1,2,2,2,2,2,2,2,2,2,1,2,2,4,2,2,2,2,4,,,,,,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1
140,1,1,2,2,2,2,2,2,2,2,2,1,2,3,3,2,3,3,3,4,,,,,,1,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2
141,1,1,2,2,2,2,2,2,2,2,3,3,2,4,3,3,2,3,4,4,,,,,,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1
142,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
143,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,2,4,3,4,4,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2
144,1,1,2,2,2,2,2,2,2,2,2,2,2,3,4,3,2,2,2,4,,,,,,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2
145,1,2,1,2,2,2,2,2,2,2,2,1,1,2,3,,,,,,1,2,2,3,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1
146,1,2,2,2,1,2,2,2,2,2,4,4,4,4,4,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1
147,1,1,2,2,2,2,2,2,2,2,3,4,4,4,4,3,4,4,4,4,,,,,,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1
148,1,1,2,2,2,2,2,2,2,2,3,3,2,4,4,3,3,3,4,4,,,,,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1
149,1,1,2,2,2,2,2,2,2,2,2,2,3,3,4,2,1,2,3,4,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2
150,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2
151,1,1,2,2,2,2,2,2,2,2,1,1,1,1,3,1,1,2,1,3,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2
